Date,Close/Last,Volume,Open,High,Low
01/24/2020,2733,N/A,2733,2733,2733
01/23/2020,2771,N/A,2771,2771,2771
01/22/2020,2803,N/A,2803,2803,2803
01/21/2020,2818,N/A,2818,2818,2818
01/17/2020,2797,N/A,2797,2797,2797
01/16/2020,2712,N/A,2712,2712,2712
01/15/2020,2689,N/A,2689,2689,2689
01/14/2020,2655,N/A,2655,2655,2655
01/13/2020,2583,N/A,2583,2583,2583
01/10/2020,2589,N/A,2589,2589,2589
01/09/2020,2554,N/A,2554,2554,2554
01/08/2020,2501,N/A,2501,2501,2501
01/07/2020,2533,N/A,2533,2533,2533
01/06/2020,2484,N/A,2484,2484,2484
01/03/2020,2519,N/A,2519,2519,2519
01/02/2020,2532,N/A,2532,2532,2532
12/31/2019,2540,N/A,2540,2540,2540
12/30/2019,2463,N/A,2463,2463,2463
12/27/2019,2497,N/A,2497,2497,2497
12/26/2019,2405,N/A,2405,2405,2405
12/24/2019,2443,N/A,2443,2443,2443
12/23/2019,2427,N/A,2427,2427,2427
12/20/2019,2417,N/A,2417,2417,2417
12/19/2019,2435,N/A,2435,2435,2435
12/18/2019,2506,N/A,2506,2506,2506
12/17/2019,2534,N/A,2534,2534,2534
12/16/2019,2545,N/A,2545,2545,2545
12/13/2019,2572,N/A,2572,2572,2572
12/12/2019,2521,N/A,2521,2521,2521
12/11/2019,2568,N/A,2568,2568,2568
12/10/2019,2585,N/A,2585,2585,2585
12/09/2019,2601,N/A,2601,2601,2601
12/06/2019,2607,N/A,2607,2607,2607
12/05/2019,2580,N/A,2580,2580,2580
